track_name,track_id,artist_name,artist_id,album_name,popularity,duration_ms,explicit,artist_genres
Beneath The Dunes,3nmpt6D8VQ85pkOl6eMhQo,Real Estate,41SQP16hv1TioVYqdckmxT,Talking Backwards,30,227280,False,"['jangle pop', 'dream pop', 'surf rock']"
Through Windows,3x8Ra8xCOkKJx71yoQeMyR,Wild Nothing,6NrkINd80slV25wkBu9mEB,Indigo,0,199186,False,"['dream pop', 'shoegaze', 'chillwave']"
Swear,2N4B9Gkkqthx9zH07REjT5,Fanclub,2XxKRqSS7wels4dpUb5N1h,All the Same,0,192506,False,"['dream pop', 'shoegaze']"
you're all i think about,7kzKXQm4eeTJOaFeelCQs0,conk creet,7LZuHIHDiWfjJxb9FP5cNt,Growing Pains,18,117250,False,"['dream pop', 'shoegaze']"
Running in Dreams,2op4rJ4v3FptY3BzYLA25l,Chain Wallet,7f30iIMeDj414u0IomBVrw,Chain Wallet,13,232289,False,"['dream pop', 'norwegian pop', 'jangle pop']"
Splendor,3cE923w64jGhkQZtprJ2lY,Glixen,3eimPofmo9TuKJTgpM9Bcj,Splendor,38,253336,False,"['shoegaze', 'slowcore']"
After Falling Asleep,1YJHbR3ANXFNu7NY4vgcDe,Say Sue Me,4tvbo17gXpYgSr8sTlkaby,Where We Were Together,13,229607,False,"['dream pop', 'jangle pop']"
I'm on My Way,1SIfVtJcLhkJfCYDBup6Ya,Marble Arch,6Oy6CwwhQqijvzAjpkoazG,Children of the Slump,0,232205,False,"['dream pop', 'shoegaze']"
Away Message,042KPCog3XmnFjvnZThKTZ,Surf Rock Is Dead,5iwmHxCi5pm28BEykL5Fyd,Away Message,0,182998,False,"['surf rock', 'dream pop', 'shoegaze']"
Pay No Mind,3Lwx7IULdFzJFIPKFGFH9z,Beach House,56ZTgzPBDge0OvCGgMO3OY,7,0,204466,False,['dream pop']
Blacklight,35skgcj6FERxuJLQxGBXcn,Inner Wave,6AQEfqGPSxZX0nJVonYxi6,Blacklight - EP,0,327613,False,[]
Be Transparent,4FkzwqbQ9ScrcnzIgRPkXT,Foliage,6GO4Noo5C7TXVHxGNClp2w,Be Transparent,0,183070,False,"['dream pop', 'bedroom pop', 'lo-fi indie', 'jangle pop']"
In Reference To,4soIPMs2XqUFu9roKupZ8I,Foliage,6GO4Noo5C7TXVHxGNClp2w,In Reference To,0,149889,True,"['dream pop', 'bedroom pop', 'lo-fi indie', 'jangle pop']"
Atop a Cake,2d4VlnTyBVserhtyH3b9BZ,Alvvays,3kzwYV3OCB010YfXMF0Avt,Alvvays,0,199573,False,"['dream pop', 'shoegaze', 'jangle pop', 'indie']"
Days,4n3xrJ5ptORsVPZLl4qNcV,Vacations,0U7iI0Dk4Ojvi17nZboNO4,Days,0,182850,False,[]
Never Going Home,4pnipOyqSfpDzeKpBPdOG0,Hazel English,1nEGjL7aMVdNQzsfQPKdGr,Never Going Home,0,236666,False,['dream pop']
When I Look Back,0NyE3z63bQpiqDkx6DSjl0,Lev Snowe,2lRRqJBopJfhZswiXar3a5,When I Look Back,23,279123,False,['dream pop']
New Jacket,6wMJAqpKp7CsU6YCIPscPC,Literature,6xcmv5tyBSILlWarSNbemC,Chorus,0,197882,False,['jangle pop']
Powder,7d9212orrSfVHQaSdesffl,Launder,34oS6XgB17t0Gm7623KXLh,Powder,28,270014,False,"['shoegaze', 'dream pop', 'lo-fi indie']"
Fever Dream,0MwAi8hSPCDpZM8TU6jHuR,GRAZER,66npZ0iLHcWmV2DAC8oYRF,Joe's Sad Song / Fever Dream,0,241232,False,"['dream pop', 'shoegaze', 'lo-fi indie']"
Honey,6Hqmu4TRXQjYEq6u1AgnJe,The Young Love Scene,6LrU7VAWMkHzeMecLyGSDx,Honey,0,167671,False,"['dream pop', 'shoegaze']"
Bisou Magique,2KZXbaru3Q8J4QOB1hYnTF,Melody's Echo Chamber,1S0vL284jxZYKtZQ2jsQ2X,Melody's Echo Chamber,34,249040,False,"['neo-psychedelic', 'dream pop', 'psychedelic rock']"
Tides,7gUWHJbkQ5sCekRghQWIAy,Eyeclimber,0Dufap1ZH2j5MwFsaRAuzV,Petrichor,0,178208,False,"['dream pop', 'shoegaze']"
Plum,04DdNbTmZAgHfNP6FdY3Sa,Widowspeak,5ZW7HlSuZz8ng2X21cXbdP,Plum,0,264954,False,"['dream pop', 'chillwave']"
Different,2JpsSsuWKEcmqQEKRHEGMu,Blankenberge,0N9CUdcRxZfnPGAmbkuUrm,Everything,16,271695,False,"['shoegaze', 'dream pop', 'slowcore']"
